op,ncc,gcc,slcc
1.0,8.8261253309797E-4,1.0,0.0
0.9982347749338041,0.00353045013239188,0.9973521624007061,0.0
0.9964695498676082,0.00529567519858782,0.9955869373345102,0.0
0.9947043248014121,0.00794351279788173,0.9929390997352162,0.0
0.9929390997352162,0.01059135039717564,0.9902912621359223,0.0
0.9911738746690203,0.01323918799646955,0.9876434245366285,0.0
0.9894086496028244,0.019417475728155338,0.9814651368049426,0.0
0.9876434245366285,0.02206531332744925,0.9788172992056487,0.0
0.9858781994704324,0.02383053839364519,0.9770520741394528,0.0
0.9841129744042365,0.0264783759929391,0.9744042365401588,8.8261253309797E-4
0.9823477493380406,0.02912621359223301,0.971756398940865,8.8261253309797E-4
0.9805825242718447,0.03265666372462489,0.9682259488084731,0.0
0.9788172992056487,0.0353045013239188,0.9655781112091791,0.0
0.9770520741394528,0.037069726390114736,0.9638128861429832,8.8261253309797E-4
0.9752868490732568,0.03971756398940865,0.9611650485436893,8.8261253309797E-4
0.9735216240070609,0.0441306266548985,0.9567519858781994,0.0
0.971756398940865,0.04677846425419241,0.9541041482789056,8.8261253309797E-4
0.969991173874669,0.04854368932038835,0.9523389232127096,8.8261253309797E-4
0.9682259488084731,0.05119152691968226,0.9496910856134158,8.8261253309797E-4
0.9664607237422771,0.05383936451897617,0.9470432480141218,8.8261253309797E-4
0.9646954986760812,0.05560458958517211,0.9452780229479258,8.8261253309797E-4
0.9629302736098853,0.05736981465136805,0.9435127978817299,8.8261253309797E-4
0.9611650485436893,0.0617828773168579,0.93909973521624,8.8261253309797E-4
0.9593998234774934,0.06707855251544571,0.9338040600176523,8.8261253309797E-4
0.9576345984112974,0.06972639011473963,0.9311562224183584,8.8261253309797E-4
0.9558693733451015,0.07325684024713151,0.9276257722859664,8.8261253309797E-4
0.9541041482789056,0.07678729037952339,0.9240953221535746,8.8261253309797E-4
0.9523389232127096,0.08120035304501325,0.9196822594880847,8.8261253309797E-4
0.9505736981465137,0.08296557811120918,0.9179170344218888,8.8261253309797E-4
0.9488084730803178,0.08473080317740513,0.9161518093556928,8.8261253309797E-4
0.9470432480141218,0.09090909090909091,0.909973521624007,8.8261253309797E-4
0.9452780229479258,0.09355692850838482,0.9082082965578111,8.8261253309797E-4
